Taijuan Walker,1 (2019),"$5,025,000.00"
Eduardo Nunez,1 (2019),"$5,000,000.00"
Brandon Kintzler,1 (2019),"$5,000,000.00"
Randal Grichuk,1 (2019),"$5,000,000.00"
Trevor Story,1 (2019),"$5,000,000.00"
Justin Wilson,2 (2019-20),"$10,000,000.00"
Sam Dyson,1 (2019),"$5,000,000.00"
Freddy Galvis,1 (2019),"$5,000,000.00"
Carlos Correa,1 (2019),"$5,000,000.00"
Joc Pederson,1 (2019),"$5,000,000.00"
Jonathan Villar,1 (2019),"$4,825,000.00"
Jake Lamb,1 (2019),"$4,825,000.00"
Arodys Vizcaino,1 (2019),"$4,800,000.00"
C.J. Cron,1 (2019),"$4,800,000.00"
Felipe Vazquez,4 (2018-21),"$22,000,000.00"
Travis Shaw,1 (2019),"$4,675,000.00"
Joe Kelly,3 (2019-21),"$25,000,000.00"
Jorge Soler,9 (2012-20),"$30,000,000.00"
Nate Jones,1 (2019),"$4,650,000.00"
Yolmer Sanchez,1 (2019),"$4,625,000.00"
Chris Iannetta,2 (2018-19),"$8,500,000.00"
Hector Rondon,2 (2018-19),"$8,500,000.00"
David Freese,1 (2019),"$4,500,000.00"
Wade Miley,1 (2019),"$4,500,000.00"
Danny Salazar,1 (2019),"$4,500,000.00"
Mike Zunino,1 (2019),"$4,412,500.00"
Eduardo Rodriguez,1 (2019),"$4,300,000.00"
Alex Avila,2 (2018-19),"$8,250,000.00"
Wilmer Flores,1 (2019),"$4,250,000.00"
Will Smith,1 (2019),"$4,225,000.00"
Will Harris,1 (2019),"$4,225,000.00"
Carlos Rodon,1 (2019),"$4,200,000.00"
Eddie Rosario,1 (2019),"$4,190,000.00"
Jorge Polanco,5 (2019-23),"$25,750,000.00"
Jose Ramirez,5 (2017-21),"$26,000,000.00"
Steven Souza,1 (2019),"$4,125,000.00"
Lance McCullers,1 (2019),"$4,100,000.00"
Tommy Pham,1 (2019),"$4,100,000.00"
Michael Conforto,1 (2019),"$4,025,000.00"
Shane Greene,1 (2019),"$4,000,000.00"
Corey Seager,1 (2019),"$4,000,000.00"
Marco Estrada,1 (2019),"$4,000,000.00"
Ian Kinsler,2 (2019-20),"$8,000,000.00"
Jesse Chavez,2 (2019-20),"$8,000,000.00"
Matt Adams,1 (2019),"$4,000,000.00"
Kurt Suzuki,2 (2019-20),"$10,000,000.00"
Howie Kendrick,2 (2018-19),"$7,000,000.00"
Martin Perez,1 (2019),"$4,000,000.00"
Jon Jay,1 (2019),"$4,000,000.00"
Aaron Sanchez,1 (2019),"$3,900,000.00"
Joe Panik,1 (2019),"$3,850,000.00"
Jarrod Dyson,2 (2018-19),"$7,500,000.00"
Trea Turner,1 (2019),"$3,725,000.00"
Kike Hernandez,1 (2019),"$3,725,000.00"
Tyler Skaggs,1 (2019),"$3,700,000.00"
Jimmy Nelson,1 (2019),"$3,700,000.00"
Nick Ahmed,1 (2019),"$3,662,500.00"
Jurickson Profar,1 (2019),"$3,600,000.00"
Brock Holt,1 (2019),"$3,575,000.00"
Travis d'Arnaud,1 (2019),"$3,515,000.00"
Asdrubal Cabrera,1 (2019),"$3,500,000.00"
Matt Shoemaker,1 (2019),"$3,500,000.00"
Avisail Garcia,1 (2019),"$3,500,000.00"
Chris Taylor,1 (2019),"$3,500,000.00"
Andrew Heaney,1 (2019),"$3,400,000.00"
Addison Russell,1 (2019),"$3,400,000.00"
Kyle Schwarber,1 (2019),"$3,390,000.00"
Jonathan Lucroy,1 (2019),"$3,350,000.00"
Chad Bettis,1 (2019),"$3,325,000.00"
Nomar Mazara,1 (2019),"$3,300,000.00"
Clayton Richard,1 (2019),"$3,300,000.00"
Yoshihisa Hirano,2 (2018-19),"$6,000,000.00"
Greg Holland,1 (2019),"$3,250,000.00"
Wily Peralta,1 (2019),"$3,250,000.00"
Jeff Mathis,2 (2019-20),"$6,250,000.00"
Michael A. Taylor,1 (2019),"$3,250,000.00"
Jose Urena,1 (2019),"$3,200,000.00"
Keone Kela,1 (2019),"$3,175,000.00"
Jeremy Jeffress,1 (2019),"$3,175,000.00"
Miguel Rojas,1 (2019),"$3,155,000.00"
Sean Manaea,1 (2019),"$3,150,000.00"
Kenta Maeda,8 (2016-23),"$25,000,000.00"
Brad Peacock,1 (2019),"$3,110,000.00"
Kirby Yates,1 (2019),"$3,062,500.00"
Leonys Martin,1 (2019),"$3,000,000.00"
Chris Owings,1 (2019),"$3,000,000.00"
Jung-ho Kang,1 (2019),"$3,000,000.00"
Brad Brach,1 (2019),"$3,000,000.00"
Adam Jones,1 (2019),"$3,000,000.00"
Clay Buchholz,1 (2019),"$3,000,000.00"
Tucker Barnhart,4 (2018-21),"$16,000,000.00"
Christian Vazquez,3 (2019-21),"$13,550,000.00"
Jon Gray,1 (2019),"$2,925,000.00"
Ryan Pressly,1 (2019),"$2,900,000.00"
Dylan Bundy,1 (2019),"$2,800,000.00"
Michael Fulmer,1 (2019),"$2,800,000.00"
Jose Peraza,1 (2019),"$2,775,000.00"
Wade LeBlanc,1 (2019),"$2,750,000.00"
Shawn Kelley,1 (2019),"$2,750,000.00"
Jake Diekman,1 (2019),"$2,750,000.00"
Lonnie Chisenhall,1 (2019),"$2,750,000.00"
Matt Duffy,1 (2019),"$2,675,000.00"
Tony Cingrani,1 (2019),"$2,650,000.00"
Miguel Sano,1 (2019),"$2,650,000.00"
Roberto Perez,4 (2017-20),"$9,000,000.00"
Steven Matz,1 (2019),"$2,625,000.00"
Tyler Anderson,1 (2019),"$2,625,000.00"
Matt Boyd,1 (2019),"$2,600,000.00"
Zach Davies,1 (2019),"$2,600,000.00"
Ketel Marte,5 (2018-22),"$24,000,000.00"
Matt Albers,2 (2018-19),"$5,000,000.00"
David Hernandez,2 (2018-19),"$5,000,000.00"
Matt Moore,1 (2019),"$2,500,000.00"
Oliver Perez,1 (2019),"$2,500,000.00"
James McCann,1 (2019),"$2,500,000.00"
Justin Bour,1 (2019),"$2,500,000.00"
Hernan Perez,1 (2019),"$2,500,000.00"
Adam Warren,1 (2019),"$2,500,000.00"
Martin Maldonado,1 (2019),"$2,500,000.00"
Sergio Romo,1 (2019),"$2,500,000.00"
Jose Iglesias,1 (2019),"$2,500,000.00"
Seunghwan Oh,1 (2019),"$2,500,000.00"
David Phelps,1 (2019),"$2,500,000.00"
Mike Montgomery,1 (2019),"$2,440,000.00"
Eloy Jimenez,6 (2019-24),"$43,000,000.00"
Craig Stammen,2 (2018-19),"$4,500,000.00"
Chris Martin,2 (2018-19),"$4,000,000.00"
Merrill Kelly,2 (2019-20),"$5,500,000.00"
Jonny Venters,1 (2019),"$2,250,000.00"
Jared Hughes,2 (2018-19),"$4,500,000.00"
Vince Velasquez,1 (2019),"$2,249,000.00"
Junior Guerra,1 (2019),"$2,225,000.00"
Jake Marisnick,1 (2019),"$2,212,500.00"
Brad Boxberger,1 (2019),"$2,200,000.00"
Mychal Givens,1 (2019),"$2,150,000.00"
Liam Hendriks,1 (2019),"$2,150,000.00"
Anthony DeSclafani,1 (2019),"$2,125,000.00"
Pedro Baez,1 (2019),"$2,100,000.00"
Austin Hedges,1 (2019),"$2,060,000.00"
Mark Canha,1 (2019),"$2,050,000.00"
Jordan Lyles,1 (2019),"$2,050,000.00"
Brian McCann,1 (2019),"$2,000,000.00"
Daniel Descalso,2 (2019-20),"$5,000,000.00"
Neil Walker,1 (2019),"$2,000,000.00"
Paul DeJong,6 (2018-23),"$26,000,000.00"
Adam Wainwright,1 (2019),"$2,000,000.00"
Shelby Miller,1 (2019),"$2,000,000.00"
Edinson Volquez,1 (2019),"$2,000,000.00"
Zach Duke,1 (2019),"$2,000,000.00"
Robbie Grossman,1 (2019),"$2,000,000.00"
Josh Harrison,1 (2019),"$2,000,000.00"
Derek Dietrich,1 (2019),"$2,000,000.00"
Aledmys Diaz,1 (2019),"$2,000,000.00"
Logan Forsythe,1 (2019),"$2,000,000.00"
Hunter Pence,1 (2019),"$2,000,000.00"
Michael Lorenzen,1 (2019),"$1,950,000.00"
Domingo Santana,1 (2019),"$1,950,000.00"
Andrew Chafin,1 (2019),"$1,945,000.00"
Lourdes Gurriel,7 (2017-23),"$22,000,000.00"
Jose Alvarez,1 (2019),"$1,925,000.00"
Devon Travis,1 (2019),"$1,925,000.00"
JC Ramirez,1 (2019),"$1,901,000.00"
Archie Bradley,1 (2019),"$1,830,000.00"
Hector Neris,1 (2019),"$1,800,000.00"
Austin Romine,1 (2019),"$1,800,000.00"
Blake Parker,1 (2019),"$1,800,000.00"
Francisco Liriano,1 (2019),"$1,800,000.00"
Tyler Thornburg,1 (2019),"$1,750,000.00"
Cam Bedrosian,1 (2019),"$1,750,000.00"
Byron Buxton,1 (2019),"$1,750,000.00"
Tim Beckham,1 (2019),"$1,750,000.00"
Manny Pina,1 (2019),"$1,750,000.00"
Curtis Granderson,1 (2019),"$1,750,000.00"
Gerardo Parra,1 (2019),"$1,750,000.00"
Yangervis Solarte,1 (2019),"$1,750,000.00"
Kyle Barraclough,1 (2019),"$1,725,000.00"
Jose Leclerc,4 (2019-22),"$14,750,000.00"
Chris Rusin,1 (2019),"$1,687,500.00"
Luis Garcia,1 (2019),"$1,675,000.00"
Scott Kingery,6 (2018-23),"$24,000,000.00"
